30283|Constant, Barbara|The Sound of Silence|PS|Parapsychology -- Fiction; Short stories; Telepathy -- Fiction; Science fiction|30283.txt
11583|Cooper, Michael D.|The Runaway Asteroid|PS|Science fiction|11583-8.txt
31767|Coppel, Alfred (1921-2004)|The Peacemaker|PS|Short stories; Science fiction|31767.txt
32104|Coppel, Alfred (1921-2004)|Turning Point|PS|Short stories; Science fiction|32104.txt
31287|Coppel, Alfred (1921-2004)|Turnover Point|PS|Manned space flight -- Fiction; Science fiction; Short stories; Criminals -- Fiction|31287.txt
32684|Coppel, Alfred (1921-2004)|The Invader|PS|Short stories; Science fiction; Extraterrestrial beings -- Fiction|32684.txt
22102|Coppel, Alfred (1921-2004)|The Hills of Home|PS|Science fiction; Short stories|22102.txt
3831|Corelli, Marie (1855-1924)|The Secret Power|PR|Sicily (Italy) -- Fiction; Science fiction; California -- Fiction|3831.txt
24101|Cory, John|Egocentric Orbit|PS|Psychological fiction; Science fiction; Short stories; Space flight -- Fiction|24101.txt
30927|Cottrell, Charles|Jack of No Trades|PS|Science fiction; Paranormal fiction|30927.txt
31062|Cox, Irving E.|The Cartels Jungle|PS|Science fiction|31062.txt
25567|Cox, Irving E.|Impact|PS|Science fiction|25567.txt
31651|Cox, Irving E.|The Instant of Now|PS|Science fiction|31651.txt
24152|Cox, Irving E.|The Guardians|PS|Short stories; Science fiction; Diseases -- Fiction; Dystopias -- Fiction|24152.txt
32651|Cox, Irving E.|Adolescents Only|PS|California -- Fiction; Teachers -- Fiction; Teenagers -- Fiction; Science fiction; High school students -- Fiction|32651.txt
32078|Cox, Irving E.|Love Story|PS|Short stories; Science fiction; Man-woman relationships -- Fiction|32078.txt
26190|Cox, James A.|A Choice of Miracles|PZ|Short stories; Miracles -- Fiction; Science fiction|26190.txt
26563|Cromie, Robert (1856-1907)|The Crack of Doom|PR|Parapsychology -- Fiction; Science fiction|26563.txt
36836|Cullum, Ridgwell (1867-1943)|The Men Who Wrought|PR|Submarines (Ships) -- Fiction; Inventors -- Fiction; Science fiction; Spy stories|36836-8.txt
29139|Cummings, M. A. (Monette A.) (1914-1999)|No Pets Allowed|PS|Short stories; Science fiction|29139.txt
19066|Cummings, Ray (1887-1957)|Brigands of the Moon|PS|Science fiction|19066-8.txt
21638|Cummings, Ray (1887-1957)|Tarrano the Conqueror|PS|Science fiction|21638.txt
25780|Cummings, Ray (1887-1957)|The Fire People|PS|Science fiction, American|25780.txt
29059|Cummings, Ray (1887-1957)|The World Beyond|PS|Science fiction|29059.txt
21094|Cummings, Ray (1887-1957)|The Girl in the Golden Atom|PS|Love stories; Chemists -- Fiction; Atoms -- Fiction; Science fiction|21094.txt
22527|Cummings, Ray (1887-1957)|Beyond the Vanishing Point|PS|Science fiction|22527.txt
20551|Cummings, Ray (1887-1957)|The White Invaders|PS|Science fiction|20551.txt
20859|Cummings, Ray (1887-1957)|Wandl the Invader|PS|Science fiction|20859-8.txt
32718|Curtis, Betsy (1917-2002)|The Trap|PS|Short stories; Rejuvenation -- Fiction; Science fiction|32718.txt
29735|Daniel, Lucius|Martians Never Die|PS|Short stories; Science fiction|29735.txt
34724|Davis, Owen (1874-1956)|Lola|PS|Science fiction|34724.txt
29181|De Courcy, John; De Courcy, Dorothy|Foundling on Venus|PS|Short stories; Science fiction; Venus (Planet) -- Fiction|29181.txt
26569|De Vet, Charles V. (Charles Vincent) (1911-1997)|Monkey On His Back|PS|Short stories; Psychological fiction; Science fiction|26569.txt
32127|De Vet, Charles V. (Charles Vincent) (1911-1997)|Wheels Within|PS|Science fiction; Psychological fiction; Short stories|32127.txt
29954|De Vet, Charles V. (Charles Vincent) (1911-1997)|There is a Reaper ...|PS|Science fiction; Horror tales; Short stories|29954.txt
30491|De Vet, Charles V. (Charles Vincent) (1911-1997)|Vital Ingredient|PS|Science fiction; Short stories|30491.txt
33790|De Vet, Charles V. (Charles Vincent) (1911-1997)|Delayed Action|PS|Short stories; Time travel -- Fiction; Science fiction; Robbery -- Fiction|33790.txt
32551|De Vet, Charles V. (Charles Vincent) (1911-1997)|Big Stupe|PS|Science fiction; Human-alien encounters -- Fiction; Short stories|32551.txt
31981|DeFord, Miriam Allen (1888-1975)|The Eel|PS|Short stories; Criminals -- Fiction; Science fiction|31981.txt
